2026-02-06 17:44:24,256 | INFO     | __main__ | Log file: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Centum-OnePager\run_20260206_174424.log
2026-02-06 17:44:24,257 | INFO     | extractors.private_data | [>] [1/7] Private Data Extraction - START
2026-02-06 17:44:24,301 | INFO     | extractors.private_data | Read markdown file: Centum-OnePager.md (53556 chars)
2026-02-06 17:44:24,302 | INFO     | extractors.private_data | Uploading markdown to Gemini File API...
2026-02-06 17:44:24,302 | INFO     | utils.llm_client | Uploading file to Gemini API: Centum-OnePager.md (53611 bytes)
2026-02-06 17:44:27,183 | INFO     | utils.llm_client | File uploaded: files/mstrfo6oqppd
2026-02-06 17:44:27,183 | INFO     | extractors.private_data | Calling LLM for financial data extraction (using File API)...
2026-02-06 17:44:45,305 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 27,363 | Out: 685 | Total: 28,048 tokens
2026-02-06 17:44:45,306 | INFO     | extractors.private_data | Financial data validated successfully
2026-02-06 17:44:45,306 | INFO     | extractors.private_data | Calculated metrics: CAGR, margins
2026-02-06 17:44:45,306 | INFO     | extractors.private_data | [OK] [1/7] Private Data Extraction - DONE
2026-02-06 17:44:45,306 | INFO     | generators.chart_data | [>] [2/7] Chart Data Preparation - START
2026-02-06 17:44:45,306 | INFO     | generators.chart_data | Using sector-specific chart configuration for Manufacturing
2026-02-06 17:44:45,307 | INFO     | generators.chart_data | Sliced financial data to last 7 years for readability
2026-02-06 17:44:45,307 | INFO     | generators.chart_data |  Created financial trends chart spec
2026-02-06 17:44:45,307 | INFO     | generators.chart_data |  Created margin evolution chart spec
2026-02-06 17:44:45,307 | INFO     | generators.chart_data | [OK] [2/7] Chart Data Preparation - DONE
2026-02-06 17:44:45,307 | INFO     | generators.chart_data | Generated 2 chart specifications
2026-02-06 17:44:45,307 | INFO     | generators.content | [>] [3/7] Content Generation - START
2026-02-06 17:44:45,308 | INFO     | extractors.markdown_parser | Parsing markdown: Centum-OnePager.md
2026-02-06 17:44:45,328 | INFO     | extractors.markdown_parser | Parsed 26 content sections
2026-02-06 17:44:45,329 | INFO     | generators.content | Parsed markdown for LLM context
2026-02-06 17:44:45,329 | INFO     | generators.content | Fetching public market data for sector: Manufacturing
2026-02-06 17:44:45,329 | INFO     | extractors.public_data | [>] [1/7] Public Data Scraping - START
2026-02-06 17:44:45,329 | INFO     | extractors.public_data | Scraping public data for sector: Manufacturing
2026-02-06 17:44:46,856 | INFO     | extractors.public_data | Found 3 market size sources
2026-02-06 17:44:49,014 | INFO     | extractors.public_data | Found 3 trend sources
2026-02-06 17:44:49,921 | INFO     | extractors.public_data | Found 2 competitive sources
2026-02-06 17:44:51,718 | INFO     | extractors.public_data | Found 2 news sources
2026-02-06 17:44:51,719 | INFO     | extractors.public_data | Total public sources collected: 10
2026-02-06 17:44:51,719 | INFO     | extractors.public_data | [OK] [1/7] Public Data Scraping - DONE
2026-02-06 17:44:51,720 | INFO     | generators.content | Applied Manufacturing-specific guidance to prompts
2026-02-06 17:44:51,720 | INFO     | generators.content | Generating Slide 2 (Business Profile) & Anonymization...
2026-02-06 17:45:01,334 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 2,494 | Out: 630 | Total: 3,124 tokens
2026-02-06 17:45:01,335 | INFO     | generators.content | Generated Codename: Project Stellar
2026-02-06 17:45:01,335 | INFO     | generators.content | Generating Slide 3 (Growth Narrative)...
2026-02-06 17:45:16,394 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 2,119 | Out: 205 | Total: 2,324 tokens
2026-02-06 17:45:16,395 | INFO     | generators.content | Generating Slide 4 (Investment Highlights)...
2026-02-06 17:45:30,228 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 3,061 | Out: 411 | Total: 3,472 tokens
2026-02-06 17:45:30,229 | INFO     | generators.content | Slide content validated successfully
2026-02-06 17:45:30,230 | WARNING  | generators.content | Company name found in content: 'centum'
2026-02-06 17:45:30,230 | INFO     | generators.content | Anonymization verified: Project Stellar
2026-02-06 17:45:30,232 | INFO     | generators.content | [OK] [3/7] Content Generation - DONE
2026-02-06 17:45:30,232 | INFO     | extractors.public_data | [>] [1/7] Public Data Scraping - START
2026-02-06 17:45:30,232 | INFO     | extractors.public_data | Scraping public data for sector: Manufacturing
2026-02-06 17:45:31,382 | INFO     | extractors.public_data | Found 3 market size sources
