2026-02-06 18:31:17,956 | INFO     | __main__ | Log file: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Connplex Cinemas-OnePager\run_20260206_183117.log
2026-02-06 18:31:17,957 | INFO     | extractors.private_data | [>] [1/7] Private Data Extraction - START
2026-02-06 18:31:17,958 | INFO     | extractors.private_data | Read markdown file: Connplex Cinemas-OnePager.md (26219 chars)
2026-02-06 18:31:17,958 | INFO     | extractors.private_data | Uploading markdown to Gemini File API...
2026-02-06 18:31:17,959 | INFO     | utils.llm_client | Uploading file to Gemini API: Connplex Cinemas-OnePager.md (26242 bytes)
2026-02-06 18:31:20,453 | INFO     | utils.llm_client | File uploaded: files/kx6ylitpnl4x
2026-02-06 18:31:20,455 | INFO     | extractors.markdown_parser | Parsing markdown: Connplex Cinemas-OnePager.md
2026-02-06 18:31:20,471 | INFO     | extractors.markdown_parser | Parsed 28 content sections
2026-02-06 18:31:20,471 | INFO     | extractors.private_data | Calling LLM for financial data extraction (using File API)...
2026-02-06 18:31:39,970 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 14,067 | Out: 359 | Total: 14,426 tokens
2026-02-06 18:31:39,971 | INFO     | extractors.private_data | Financial data validated successfully
2026-02-06 18:31:39,971 | INFO     | extractors.private_data | Calculated metrics: CAGR, margins
2026-02-06 18:31:39,971 | INFO     | extractors.private_data | [OK] [1/7] Private Data Extraction - DONE
2026-02-06 18:31:39,972 | INFO     | generators.chart_data | [>] [2/7] Chart Data Preparation - START
2026-02-06 18:31:39,972 | INFO     | generators.chart_data | Using sector-specific chart configuration for Services
2026-02-06 18:31:39,972 | INFO     | generators.chart_data |  Created financial trends chart spec
2026-02-06 18:31:39,972 | INFO     | generators.chart_data |  Created margin evolution chart spec
2026-02-06 18:31:39,972 | INFO     | generators.chart_data | [OK] [2/7] Chart Data Preparation - DONE
2026-02-06 18:31:39,972 | INFO     | generators.chart_data | Generated 2 chart specifications
2026-02-06 18:31:39,973 | INFO     | generators.content | [>] [3/7] Content Generation - START
2026-02-06 18:31:39,973 | INFO     | extractors.markdown_parser | Parsing markdown: Connplex Cinemas-OnePager.md
2026-02-06 18:31:39,980 | INFO     | extractors.markdown_parser | Parsed 28 content sections
2026-02-06 18:31:39,981 | INFO     | generators.content | Parsed markdown for LLM context
2026-02-06 18:31:39,981 | INFO     | generators.content | Fetching public market data for sector: Services
2026-02-06 18:31:39,981 | INFO     | extractors.public_data | [>] [1/7] Public Data Scraping - START
