2026-02-06 15:34:36,369 | INFO     | __main__ | Log file: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Ind Swift-OnePager\run_20260206_153436.log
2026-02-06 15:34:36,370 | INFO     | extractors.private_data | [>] [1/7] Private Data Extraction - START
2026-02-06 15:34:36,370 | INFO     | extractors.private_data | Read markdown file: Ind Swift-OnePager.md (102021 chars)
2026-02-06 15:34:36,370 | INFO     | extractors.private_data | Uploading markdown to Gemini File API...
2026-02-06 15:34:36,370 | INFO     | utils.llm_client | Uploading file to Gemini API: Ind Swift-OnePager.md (102045 bytes)
2026-02-06 15:34:39,086 | INFO     | utils.llm_client | File uploaded: files/uw46shx6olwo
2026-02-06 15:34:39,088 | INFO     | extractors.private_data | Calling LLM for financial data extraction (using File API)...
2026-02-06 15:34:53,219 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 37,571 | Out: 284 | Total: 37,855 tokens
2026-02-06 15:34:53,220 | INFO     | extractors.private_data | Financial data validated successfully
2026-02-06 15:34:53,220 | INFO     | extractors.private_data | Calculated metrics: CAGR, margins
2026-02-06 15:34:53,220 | INFO     | extractors.private_data | [OK] [1/7] Private Data Extraction - DONE
2026-02-06 15:34:53,220 | INFO     | generators.chart_data | [>] [2/7] Chart Data Preparation - START
2026-02-06 15:34:53,220 | INFO     | generators.chart_data | Using sector-specific chart configuration for Pharma
2026-02-06 15:34:53,220 | INFO     | generators.chart_data |  Created financial trends chart spec
2026-02-06 15:34:53,222 | INFO     | generators.chart_data |  Created margin evolution chart spec
2026-02-06 15:34:53,222 | INFO     | generators.chart_data | [OK] [2/7] Chart Data Preparation - DONE
2026-02-06 15:34:53,222 | INFO     | generators.chart_data | Generated 2 chart specifications
2026-02-06 15:34:53,222 | INFO     | generators.content | [>] [3/7] Content Generation - START
2026-02-06 15:34:53,222 | INFO     | generators.content | Fetching public market data for sector: Pharma
2026-02-06 15:34:53,222 | INFO     | extractors.public_data | [>] [1/7] Public Data Scraping - START
2026-02-06 15:34:53,223 | INFO     | extractors.public_data | Scraping public data for sector: Pharma
2026-02-06 15:34:55,075 | INFO     | extractors.public_data | Found 3 market size sources
2026-02-06 15:34:57,921 | INFO     | extractors.public_data | Found 3 trend sources
2026-02-06 15:35:01,272 | INFO     | extractors.public_data | Found 2 competitive sources
2026-02-06 15:35:04,498 | INFO     | extractors.public_data | Found 2 news sources
2026-02-06 15:35:04,500 | INFO     | extractors.public_data | Total public sources collected: 10
2026-02-06 15:35:04,502 | INFO     | extractors.public_data | [OK] [1/7] Public Data Scraping - DONE
2026-02-06 15:35:04,504 | INFO     | generators.content | Applied Pharma-specific guidance to prompts
2026-02-06 15:35:04,505 | INFO     | generators.content | Generating Slide 2 (Business Profile) & Anonymization...
2026-02-06 15:35:13,966 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 1,226 | Out: 533 | Total: 1,759 tokens
2026-02-06 15:35:13,967 | INFO     | generators.content | Generated Codename: Project Elixir
2026-02-06 15:35:13,967 | INFO     | generators.content | Generating Slide 3 (Growth Narrative)...
2026-02-06 15:35:21,602 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 528 | Out: 189 | Total: 717 tokens
2026-02-06 15:35:21,602 | INFO     | generators.content | Generating Slide 4 (Investment Highlights)...
2026-02-06 15:35:26,269 | WARNING  | utils.llm_client | Attempt 1 failed: API error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
2026-02-06 15:35:42,614 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 1,093 | Out: 378 | Total: 1,471 tokens
2026-02-06 15:35:42,615 | INFO     | generators.content | Slide content validated successfully
2026-02-06 15:35:42,616 | INFO     | generators.content | Anonymization verified: Project Elixir
2026-02-06 15:35:42,617 | INFO     | generators.content | [OK] [3/7] Content Generation - DONE
2026-02-06 15:35:42,618 | INFO     | extractors.public_data | [>] [1/7] Public Data Scraping - START
2026-02-06 15:35:42,619 | INFO     | extractors.public_data | Scraping public data for sector: Pharma
2026-02-06 15:35:44,449 | INFO     | extractors.public_data | Found 3 market size sources
2026-02-06 15:35:47,051 | INFO     | extractors.public_data | Found 3 trend sources
2026-02-06 15:35:49,721 | INFO     | extractors.public_data | Found 2 competitive sources
2026-02-06 15:35:51,571 | INFO     | extractors.public_data | Found 2 news sources
2026-02-06 15:35:51,572 | INFO     | extractors.public_data | Total public sources collected: 10
2026-02-06 15:35:51,574 | INFO     | extractors.public_data | [OK] [1/7] Public Data Scraping - DONE
2026-02-06 15:35:51,576 | INFO     | generators.citations | [>] [4/7] Citations Document - START
2026-02-06 15:35:51,787 | INFO     | generators.citations | [OK] [4/7] Citations Document - DONE
2026-02-06 15:35:51,787 | INFO     | generators.citations |  Citations saved: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Ind Swift-OnePager\Project_Elixir_citations.docx
2026-02-06 15:35:51,787 | INFO     | assets.image_compliance | ImageComplianceChecker initialized
2026-02-06 15:35:51,787 | INFO     | assets.image_sourcing | ImageSourcing initialized
2026-02-06 15:35:51,787 | INFO     | assets.image_sourcing | [>] [5/7] Image Sourcing - START
2026-02-06 15:35:51,789 | INFO     | assets.image_sourcing | Calling LLM for intelligent image query generation...
2026-02-06 15:36:09,428 | WARNING  | utils.llm_client | Attempt 1 failed: API error: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}
2026-02-06 15:36:16,164 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 822 | Out: 65 | Total: 887 tokens
2026-02-06 15:36:16,165 | INFO     | assets.image_sourcing | [OK] Generated 5 sector-specific image queries
2026-02-06 15:36:16,166 | INFO     | assets.image_sourcing | Sourcing 5 images with queries: ['pharmaceutical API synthesis reactor chemical plant', 'pharmaceutical tablet compression machine production line', 'sterile injectable filling clean room facility', 'pharmaceutical quality control laboratory testing equipment', 'automated pharmaceutical blister packaging production line']
2026-02-06 15:36:16,167 | INFO     | assets.image_sourcing | Searching for: 'pharmaceutical API synthesis reactor chemical plant'
2026-02-06 15:36:16,840 | INFO     | assets.image_sourcing |  Downloaded from Unsplash: unsplash_1.jpg
2026-02-06 15:36:17,077 | INFO     | assets.image_compliance |  Image compliant: unsplash_1.jpg
2026-02-06 15:36:17,083 | INFO     | assets.image_sourcing | Searching for: 'pharmaceutical tablet compression machine production line'
2026-02-06 15:36:17,750 | INFO     | assets.image_sourcing |  Downloaded from Unsplash: unsplash_2.jpg
2026-02-06 15:36:17,823 | INFO     | assets.image_compliance |  Image compliant: unsplash_2.jpg
2026-02-06 15:36:17,827 | INFO     | assets.image_sourcing | Searching for: 'sterile injectable filling clean room facility'
2026-02-06 15:36:18,539 | INFO     | assets.image_sourcing |  Downloaded from Unsplash: unsplash_3.jpg
2026-02-06 15:36:18,626 | INFO     | assets.image_compliance |  Image compliant: unsplash_3.jpg
2026-02-06 15:36:18,629 | INFO     | assets.image_sourcing | Searching for: 'pharmaceutical quality control laboratory testing equipment'
2026-02-06 15:36:20,016 | INFO     | assets.image_sourcing |  Downloaded from Unsplash: unsplash_4.jpg
