2026-02-06 17:35:06,663 | INFO     | __main__ | Log file: C:\Users\shory\Desktop\AI-ML-GC\deckain\output\Kalyani Forge-OnePager\run_20260206_173506.log
2026-02-06 17:35:06,663 | INFO     | extractors.private_data | [>] [1/7] Private Data Extraction - START
2026-02-06 17:35:06,665 | INFO     | extractors.private_data | Read markdown file: Kalyani Forge-OnePager.md (42404 chars)
2026-02-06 17:35:06,665 | INFO     | extractors.private_data | Uploading markdown to Gemini File API...
2026-02-06 17:35:06,665 | INFO     | utils.llm_client | Uploading file to Gemini API: Kalyani Forge-OnePager.md (42427 bytes)
2026-02-06 17:35:09,027 | INFO     | utils.llm_client | File uploaded: files/3gj8zfs1tcqq
2026-02-06 17:35:09,028 | INFO     | extractors.private_data | Calling LLM for financial data extraction (using File API)...
2026-02-06 17:35:32,286 | INFO     | utils.llm_client | API Call: gemini-3-flash-preview | In: 23,012 | Out: 747 | Total: 23,759 tokens
2026-02-06 17:35:32,288 | INFO     | extractors.private_data | Financial data validated successfully
2026-02-06 17:35:32,288 | INFO     | extractors.private_data | Calculated metrics: CAGR, margins
2026-02-06 17:35:32,289 | INFO     | extractors.private_data | [OK] [1/7] Private Data Extraction - DONE
2026-02-06 17:35:32,290 | INFO     | generators.chart_data | [>] [2/7] Chart Data Preparation - START
2026-02-06 17:35:32,291 | INFO     | generators.chart_data | Using sector-specific chart configuration for Manufacturing
2026-02-06 17:35:32,291 | INFO     | generators.chart_data | Sliced financial data to last 7 years for readability
2026-02-06 17:35:32,295 | INFO     | generators.chart_data |  Created financial trends chart spec
2026-02-06 17:35:32,297 | INFO     | generators.chart_data |  Created margin evolution chart spec
2026-02-06 17:35:32,297 | INFO     | generators.chart_data | [OK] [2/7] Chart Data Preparation - DONE
2026-02-06 17:35:32,298 | INFO     | generators.chart_data | Generated 2 chart specifications
2026-02-06 17:35:32,299 | INFO     | generators.content | [>] [3/7] Content Generation - START
2026-02-06 17:35:32,300 | INFO     | extractors.markdown_parser | Parsing markdown: Kalyani Forge-OnePager.md
